Género y especie;Tiempo;Ubicación;Zona;País actual;Hábitat;Capacidad craneal;Altura;Tamaño de los incisivos;Forma de la mandíbula;Toroide supraorbitario;Prognatismo;Posición del foramen magnum;Tamaño del canino;Forma de los caninos;Esmalte dental;Tecno;Tipo tecno;Bípedo;Brazos;Pies;Dieta;Dimorfismo sexual;Cadera;Frente vertical;Anatomía;Migrado;Esqueleto
hominino Orrorin tugenencin;604.112.375;Africa;oriental;Kenya;forest;1.445.141;11.024.323;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
hominino Ardipithecus ramidus / kabadda;438.390.951;Africa;oriental;Ethiopia;mixed;29.396.021;10.769.018;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Australopithecus Afarensis;374.941.258;Africa;oriental;Kenya;mixed;26.479.849;12.376.644;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Australopithecus Anamensis;459.560.572;Africa;oriental;Kenya;forest-gallery;40.328.047;11.140.831;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Australopithecus Africanus;361.405.951;Africa;south;South Africa;forest-gallery;67.915.233;11.159.004;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Homo Rodhesiensis;0.67944746;Africa;oriental;Ethiopia;savannah;115.528.124;14.477.589;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Afarensis;378.897.752;Africa;oriental;Kenya;mixed;30.531.366;13.847.796;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
hominino Sahelanthropus tchadensis;755.196.675;Africa;central;Republic of Chad;mixed;25.804.823;9.123.118;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Neanderthalensis;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australopithecus Anamensis;41.809.143;Africa;oriental;Kenya;forest-gallery;46.006.068;11.735.674;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Australopithecus Anamensis;405.812.009;Africa;oriental;Kenya;forest-gallery;36.184.781;12.755.925;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Paranthropus Aethiopicus;283.307.459;Africa;oriental;Kenya;forest-savanna;48.644.422;11.240.066;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Erectus;190.240.596;Asia ;west;Indonesia;savannah;110.533.236;16.381.038;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Naledi;0.56750766;Africa;south;South Africa;jungle;21.313.723;13.315.602;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Floresiensis;0.12840038;Asia ;oriental;Indonesia;peninsular;25.405.276;10.304.389;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Anamensis;476.575.794;Africa;oriental;Kenya;forest-gallery;2.004.168;12.290.488;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Paranthropus Boisei;217.379.087;Africa;oriental;Ethiopia;forest;49.006.908;10.381.584;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
hominino Ardipithecus ramidus / kabadda;454.700.909;Africa;oriental;Ethiopia;mixed;26.673.577;1.078.513;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
